serial_no,word,page_no,level
1,abhor,14,advanced
2,abhorrent,14,advanced
3,abject poverty,45,advanced
4,absolute poverty,40,advanced
5,abstruse,69,advanced
6,accede,72,advanced
7,accelerate,66,advanced
8,accessory,17,advanced
9,accommodating,34,advanced
10,accord,74,advanced
11,aches and pains,52,advanced
12,achieve economic growth,45,advanced
13,acknowledge,101,advanced
14,acquaintance,12,advanced
15,acquit,74,advanced
16,acquittal,74,advanced
17,acupuncturist,51,advanced
18,acute,51,advanced
19,addictive,48,advanced
20,additive,23,advanced
21,additive-free,87,advanced
22,adherence,36,advanced
23,adherent,36,advanced
24,adjoining,101,advanced
25,administration,7,advanced
26,adoration,11,advanced
27,adoring,11,advanced
28,advocate,79,advanced
29,affectionate,11,advanced
30,affinity,68,advanced
31,affluence,40,advanced
32,affluent,40,advanced
33,aforementioned,101,advanced
34,age-conscious,87,advanced
35,age-related,87,advanced
36,aggregate,71,advanced
37,agree to differ,78,advanced
38,ahead of its time,22,advanced
39,air views,50,advanced
40,airtime,50,advanced
41,alarmed,14,advanced
42,alcoholic,16,advanced
43,all the ingredients of,23,advanced
44,allthe rage,17,advanced
45,all your born days,60,advanced
46,allegation,43,advanced
47,allege,43,advanced
48,allergic,53,advanced
49,allergy,23,advanced
50,alleviate debt,45,advanced
51,all-inclusive holiday,26,advanced
52,allocate funds,45,advanced
53,allude,80,advanced
54,ally,12,advanced
55,aloof,10,advanced
56,altruistic,8,advanced
57,amateur,16,advanced
58,amber,89,advanced
59,ambush,44,advanced
60,amendment,43,advanced
61,amiability,11,advanced
62,anitem,19,advanced
63,anaesthesia,51,advanced
64,anaesthetist,51,advanced
65,analogy,68,advanced
66,ancestor,28,advanced
67,angle bracket,81,advanced
68,animal rights activist,32,advanced
69,animal welfare,23,advanced
70,annulment,43,advanced
71,-ant,87,advanced
72,anthology,22,advanced
73,anticipate,76,advanced
74,anti-corruption squad,35,advanced
75,antipathy,14,advanced
76,anti-social,5,advanced
77,anti-virus software,48,advanced
78,appalling,92,advanced
79,apparent,70,advanced
80,appeal,43,advanced
81,applause,29,advanced
82,approachable,10,advanced
83,approve,78,advanced
84,approximately,83,advanced
85,arbitrary,79,advanced
86,arch rival,12,advanced
87,archive,50,advanced
88,arduous,69,advanced
89,armistice,74,advanced
90,articulate,38,advanced
91,artificial,99,advanced
92,as quiet as amouse,63,advanced
93,as thick as thieves,11,advanced
94,things,82,advanced
95,ASAP,85,advanced
96,aspiration,70,advanced
97,assent,72,advanced
98,assert,80,advanced
99,assessment of risk,7,advanced
100,assignment,1,advanced
101,asterisk,81,advanced
102,astute,8,advanced
103,asylum,97,advanced
104,asylum-seeker,35,advanced
105,at arate of knots,60,advanced
106,at short notice,60,advanced
107,at stake,76,advanced
108,at your earliest convenience,101,advanced
109,ATM,46,advanced
110,atmospheric,37,advanced
111,attain,101,advanced
112,attire,17,advanced
113,auction,7,advanced
114,audition,20,advanced
115,authorise,72,advanced
116,authoritative,79,advanced
117,auto-,88,advanced
118,availability,34,advanced
119,averse,14,advanced
