serial_no,word,page_no,level
1,a laugh,99,intermediate
2,abbreviation,53,intermediate
3,ability,71,intermediate
4,able,71,intermediate
5,abroad,37,intermediate
6,absent,38,intermediate
7,absolutely,89,intermediate
8,accent,33,intermediate
9,accept,1,intermediate
10,access,"48,55",intermediate
11,accident,29,intermediate
12,accountant,35,intermediate
13,accurate,33,intermediate
14,ache,20,intermediate
15,achieve,39,intermediate
16,achievement,39,intermediate
17,act,43,intermediate
18,acting,43,intermediate
19,active,1,intermediate
20,actually,99,intermediate
21,addition,61,intermediate
22,admission,30,intermediate
23,advantage,26,intermediate
24,advice,"1,86",intermediate
25,advise,"36,88",intermediate
26,afford,19,intermediate
27,afraid,77,intermediate
28,afterwards,92,intermediate
29,agree,87,intermediate
30,aim,39,intermediate
31,aircraft,"47,73",intermediate
32,airline,73,intermediate
33,album,44,intermediate
34,allow,14,intermediate
35,alphabet,33,intermediate
36,amazed,89,intermediate
37,ambition,39,intermediate
38,angrily,91,intermediate
39,annoyed,89,intermediate
40,annoying,89,intermediate
41,annual,"45,72",intermediate
42,answerphone,53,intermediate
43,antique,63,intermediate
44,anxiety,12,intermediate
45,anxious,44,intermediate
46,importantly,92,intermediate
47,appear,70,intermediate
48,appearance,10,intermediate
49,appointment,38,intermediate
50,approach,29,intermediate
51,architect,"34,35",intermediate
52,architecture,34,intermediate
53,argue,1,intermediate
54,arrange,38,intermediate
55,arrest,56,intermediate
56,arrival,96,intermediate
57,article,52,intermediate
58,artist,71,intermediate
59,athletic,10,intermediate
60,atmosphere,32,intermediate
61,attachment,55,intermediate
62,attack,56,intermediate
63,attempt,87,intermediate
64,attend,"32,38",intermediate
65,attendance,38,intermediate
66,attitude,68,intermediate
67,attraction,50,intermediate
68,author,43,intermediate
69,available,"47,98",intermediate
70,avoid,87,intermediate
71,awful,"2,89",intermediate
72,ballet,44,intermediate
73,ballot,57,intermediate
74,battle,59,intermediate
75,beach holiday,46,intermediate
76,beat,42,intermediate
77,beauty,10,intermediate
78,behave,3,intermediate
79,believe,97,intermediate
80,beneath,90,intermediate
81,bilingual,3,intermediate
82,biography,43,intermediate
83,blow,7,intermediate
84,boiling,7,intermediate
85,bomb,59,intermediate
86,bother,16,intermediate
87,branch,27,intermediate
88,break the rules,32,intermediate
89,bride,15,intermediate
90,groom,15,intermediate
91,bridge,29,intermediate
92,brig,14,intermediate
93,broad,10,intermediate
94,broadcast,52,intermediate
95,browse,55,intermediate
96,bunch,"24,64",intermediate
97,burglar,56,intermediate
98,burglary,56,intermediate
99,burn,19,intermediate
100,by accident,78,intermediate
101,by chance,78,intermediate
102,by mistake,78,intermediate
103,cage,8,intermediate
104,calculate,61,intermediate
105,calculation,61,intermediate
106,calculator,"38,61",intermediate
107,calm,11,intermediate
108,cancer,20,intermediate
109,captain,42,intermediate
110,carpark,25,intermediate
111,caring,12,intermediate
112,carpenter,35,intermediate
