serial_no,word,page_no,level
1,abolish,85,upper_intermediate
2,abrupt,34,upper_intermediate
3,absent-minded,12,upper_intermediate
4,absorb,86,upper_intermediate
5,admire,35,upper_intermediate
6,adulthood,11,upper_intermediate
7,affection,69,upper_intermediate
8,ageism,99,upper_intermediate
9,aggressive,11,upper_intermediate
10,agitation,30,upper_intermediate
11,agriculture,44,upper_intermediate
12,air,"30,49",upper_intermediate
13,all-out,12,upper_intermediate
14,allowances,85,upper_intermediate
15,alteration,8,upper_intermediate
16,alternative,60,upper_intermediate
17,ambassador,54,upper_intermediate
18,amount,57,upper_intermediate
19,anarchist,8,upper_intermediate
20,angora,15,upper_intermediate
21,anonymity,11,upper_intermediate
22,anti-,9,upper_intermediate
23,appetite,48,upper_intermediate
24,apply for,40,upper_intermediate
25,appreciate,96,upper_intermediate
26,area,45,upper_intermediate
27,arenaball,99,upper_intermediate
28,arise out of,22,upper_intermediate
29,aromatic,71,upper_intermediate
30,arrow,41,upper_intermediate
31,as a result,22,upper_intermediate
32,assembly line,13,upper_intermediate
33,atlas,15,upper_intermediate
34,auburn,33,upper_intermediate
35,autobiography,9,upper_intermediate
36,autograph,9,upper_intermediate
37,avant garde,16,upper_intermediate
38,baby-boomer,99,upper_intermediate
39,bachelor,97,upper_intermediate
40,back to square one,80,upper_intermediate
41,badly-dressed,47,upper_intermediate
42,bang,61,upper_intermediate
43,baroque,45,upper_intermediate
44,barrage,29,upper_intermediate
45,barren,44,upper_intermediate
46,basketball,45,upper_intermediate
47,battery farming,44,upper_intermediate
48,bay,44,upper_intermediate
49,beam,61,upper_intermediate
50,belief,67,upper_intermediate
51,bid,92,upper_intermediate
52,bio-degradable,44,upper_intermediate
53,bio-house,99,upper_intermediate
54,birch,46,upper_intermediate
55,birth control,13,upper_intermediate
56,bite,72,upper_intermediate
57,black and white,77,upper_intermediate
58,black night,76,upper_intermediate
59,Black English,94,upper_intermediate
60,black eye,48,upper_intermediate
61,blade,30,upper_intermediate
62,blast,92,upper_intermediate
63,bleat,73,upper_intermediate
64,bleep,61,upper_intermediate
65,blink,72,upper_intermediate
66,blitz,16,upper_intermediate
67,block,37,upper_intermediate
68,bloom,89,upper_intermediate
69,blow-out,93,upper_intermediate
70,blue-eyed,12,upper_intermediate
71,blunt,34,upper_intermediate
72,blustery,32,upper_intermediate
73,board up,38,upper_intermediate
74,boldly,70,upper_intermediate
75,bonfire,88,upper_intermediate
76,bonnet,93,upper_intermediate
77,bonsai,16,upper_intermediate
78,boost,92,upper_intermediate
79,boredom,11,upper_intermediate
80,botany,52,upper_intermediate
81,bowler,15,upper_intermediate
82,boxing,41,upper_intermediate
83,boycott,15,upper_intermediate
84,brass,95,upper_intermediate
85,breadth,11,upper_intermediate
86,bribery,55,upper_intermediate
87,bright-eyed,12,upper_intermediate
88,British-made,12,upper_intermediate
89,broken-down,12,upper_intermediate
90,brown-eyed,12,upper_intermediate
91,brutal,11,upper_intermediate
92,built-up,12,upper_intermediate
93,buoy,49,upper_intermediate
94,hatchet,80,upper_intermediate
95,business,85,upper_intermediate
96,butter somebody,81,upper_intermediate
97,by-pass,14,upper_intermediate
98,caftan,16,upper_intermediate
99,Cain and Abel,95,upper_intermediate
100,captivate,69,upper_intermediate
101,care for,86,upper_intermediate
102,cartoon,53,upper_intermediate
103,cast,42,upper_intermediate
104,cast-off,12,upper_intermediate
105,casualty,38,upper_intermediate
106,catty,73,upper_intermediate
107,centralise,8,upper_intermediate
108,chairmanship,11,upper_intermediate
109,charm,45,upper_intermediate
110,chauvinist,15,upper_intermediate
111,checked,47,upper_intermediate
112,cheerleader,97,upper_intermediate
113,-child-minder,40,upper_intermediate
114,chilly,32,upper_intermediate
115,chime,61,upper_intermediate
116,chip,37,upper_intermediate
117,chubby,33,upper_intermediate
118,cigarettes,66,upper_intermediate
119,circumspect,10,upper_intermediate
120,citizen,11,upper_intermediate
121,City Hall,45,upper_intermediate
122,civil war,38,upper_intermediate
123,classmate,35,upper_intermediate
124,clatter,61,upper_intermediate
125,clean and tidy,77,upper_intermediate
126,clear-our,14,upper_intermediate
127,clearance sale,96,upper_intermediate
128,close-fitting,47,upper_intermediate
